ICD-10-CM Codes,Description,Tags
M86222,"Subacute osteomyelitis, left humerus",
M86229,"Subacute osteomyelitis, unspecified humerus",
M86231,"Subacute osteomyelitis, right radius and ulna",
M86232,"Subacute osteomyelitis, left radius and ulna",
M86239,"Subacute osteomyelitis, unspecified radius and ulna",
M86241,"Subacute osteomyelitis, right hand",
M86242,"Subacute osteomyelitis, left hand",
M86249,"Subacute osteomyelitis, unspecified hand",
M86251,"Subacute osteomyelitis, right femur",
M86252,"Subacute osteomyelitis, left femur",
M86259,"Subacute osteomyelitis, unspecified femur",
M86261,"Subacute osteomyelitis, right tibia and fibula",
M86262,"Subacute osteomyelitis, left tibia and fibula",
M86269,"Subacute osteomyelitis, unspecified tibia and fibula",
M86271,"Subacute osteomyelitis, right ankle and foot",
M86272,"Subacute osteomyelitis, left ankle and foot",
M86279,"Subacute osteomyelitis, unspecified ankle and foot",
M8628,"Subacute osteomyelitis, other site",
M8629,"Subacute osteomyelitis, multiple sites",
M8630,"Chronic multifocal osteomyelitis, unspecified site",
M86311,"Chronic multifocal osteomyelitis, right shoulder",
M86312,"Chronic multifocal osteomyelitis, left shoulder",
M86319,"Chronic multifocal osteomyelitis, unspecified shoulder",
M86321,"Chronic multifocal osteomyelitis, right humerus",
M86322,"Chronic multifocal osteomyelitis, left humerus",
M86329,"Chronic multifocal osteomyelitis, unspecified humerus",
M86331,"Chronic multifocal osteomyelitis, right radius and ulna",
M86332,"Chronic multifocal osteomyelitis, left radius and ulna",
M86339,"Chronic multifocal osteomyelitis, unspecified radius and ulna",
M86341,"Chronic multifocal osteomyelitis, right hand",
M86342,"Chronic multifocal osteomyelitis, left hand",
M86349,"Chronic multifocal osteomyelitis, unspecified hand",
M86351,"Chronic multifocal osteomyelitis, right femur",
M86352,"Chronic multifocal osteomyelitis, left femur",
M86359,"Chronic multifocal osteomyelitis, unspecified femur",
M86361,"Chronic multifocal osteomyelitis, right tibia and fibula",
M86362,"Chronic multifocal osteomyelitis, left tibia and fibula",
M86369,"Chronic multifocal osteomyelitis, unspecified tibia and fibula",
M86371,"Chronic multifocal osteomyelitis, right ankle and foot",
M86372,"Chronic multifocal osteomyelitis, left ankle and foot",
M86379,"Chronic multifocal osteomyelitis, unspecified ankle and foot",
M8638,"Chronic multifocal osteomyelitis, other site",
M8639,"Chronic multifocal osteomyelitis, multiple sites",
M8640,"Chronic osteomyelitis with draining sinus, unspecified site",
M86411,"Chronic osteomyelitis with draining sinus, right shoulder",
M86412,"Chronic osteomyelitis with draining sinus, left shoulder",
M86419,"Chronic osteomyelitis with draining sinus, unspecified shoulder",
M86421,"Chronic osteomyelitis with draining sinus, right humerus",
M86422,"Chronic osteomyelitis with draining sinus, left humerus",
M86429,"Chronic osteomyelitis with draining sinus, unspecified humerus",
M86431,"Chronic osteomyelitis with draining sinus, right radius and ulna",
M86432,"Chronic osteomyelitis with draining sinus, left radius and ulna",
M86439,"Chronic osteomyelitis with draining sinus, unspecified radius and ulna",
M86441,"Chronic osteomyelitis with draining sinus, right hand",
M86442,"Chronic osteomyelitis with draining sinus, left hand",
M86449,"Chronic osteomyelitis with draining sinus, unspecified hand",
M86451,"Chronic osteomyelitis with draining sinus, right femur",
M86452,"Chronic osteomyelitis with draining sinus, left femur",
M86459,"Chronic osteomyelitis with draining sinus, unspecified femur",
M86461,"Chronic osteomyelitis with draining sinus, right tibia and fibula",
M86462,"Chronic osteomyelitis with draining sinus, left tibia and fibula",
M86469,"Chronic osteomyelitis with draining sinus, unspecified tibia and fibula",
M86471,"Chronic osteomyelitis with draining sinus, right ankle and foot",
M86472,"Chronic osteomyelitis with draining sinus, left ankle and foot",
M86479,"Chronic osteomyelitis with draining sinus, unspecified ankle and foot",
M8648,"Chronic osteomyelitis with draining sinus, other site",
M8649,"Chronic osteomyelitis with draining sinus, multiple sites",
M8650,"Other chronic hematogenous osteomyelitis, unspecified site",
M86511,"Other chronic hematogenous osteomyelitis, right shoulder",
M86512,"Other chronic hematogenous osteomyelitis, left shoulder",
M86519,"Other chronic hematogenous osteomyelitis, unspecified shoulder",
M86521,"Other chronic hematogenous osteomyelitis, right humerus",
M86522,"Other chronic hematogenous osteomyelitis, left humerus",
M86529,"Other chronic hematogenous osteomyelitis, unspecified humerus",
M86531,"Other chronic hematogenous osteomyelitis, right radius and ulna",
M86532,"Other chronic hematogenous osteomyelitis, left radius and ulna",
M86539,"Other chronic hematogenous osteomyelitis, unspecified radius and ulna",
M86541,"Other chronic hematogenous osteomyelitis, right hand",
M86542,"Other chronic hematogenous osteomyelitis, left hand",
M86549,"Other chronic hematogenous osteomyelitis, unspecified hand",
M86551,"Other chronic hematogenous osteomyelitis, right femur",
M86552,"Other chronic hematogenous osteomyelitis, left femur",
M86559,"Other chronic hematogenous osteomyelitis, unspecified femur",
M86561,"Other chronic hematogenous osteomyelitis, right tibia and fibula",
M86562,"Other chronic hematogenous osteomyelitis, left tibia and fibula",
M86569,"Other chronic hematogenous osteomyelitis, unspecified tibia and fibula",
M86571,"Other chronic hematogenous osteomyelitis, right ankle and foot",
M86572,"Other chronic hematogenous osteomyelitis, left ankle and foot",
M86579,"Other chronic hematogenous osteomyelitis, unspecified ankle and foot",
M8658,"Other chronic hematogenous osteomyelitis, other site",
M8659,"Other chronic hematogenous osteomyelitis, multiple sites",
M8660,"Other chronic osteomyelitis, unspecified site",
M86611,"Other chronic osteomyelitis, right shoulder",
M86612,"Other chronic osteomyelitis, left shoulder",
M86619,"Other chronic osteomyelitis, unspecified shoulder",
M86621,"Other chronic osteomyelitis, right humerus",
M86622,"Other chronic osteomyelitis, left humerus",
M86629,"Other chronic osteomyelitis, unspecified humerus",
M86631,"Other chronic osteomyelitis, right radius and ulna",
M86632,"Other chronic osteomyelitis, left radius and ulna",
M86639,"Other chronic osteomyelitis, unspecified radius and ulna",
M86641,"Other chronic osteomyelitis, right hand",
M86642,"Other chronic osteomyelitis, left hand",
M86649,"Other chronic osteomyelitis, unspecified hand",
M86651,"Other chronic osteomyelitis, right thigh",
M86652,"Other chronic osteomyelitis, left thigh",
M86659,"Other chronic osteomyelitis, unspecified thigh",
M86661,"Other chronic osteomyelitis, right tibia and fibula",
M86662,"Other chronic osteomyelitis, left tibia and fibula",
M86669,"Other chronic osteomyelitis, unspecified tibia and fibula",
M86671,"Other chronic osteomyelitis, right ankle and foot",
M86672,"Other chronic osteomyelitis, left ankle and foot",
M86679,"Other chronic osteomyelitis, unspecified ankle and foot",
M8668,"Other chronic osteomyelitis, other site",
M8669,"Other chronic osteomyelitis, multiple sites",
M868X0,"Other osteomyelitis, multiple sites",
M868X1,"Other osteomyelitis, shoulder",
M868X2,"Other osteomyelitis, upper arm",
M868X3,"Other osteomyelitis, forearm",
M868X4,"Other osteomyelitis, hand",
M868X5,"Other osteomyelitis, thigh",
M868X6,"Other osteomyelitis, lower leg",
M868X7,"Other osteomyelitis, ankle and foot",
M868X8,"Other osteomyelitis, other site",
M868X9,"Other osteomyelitis, unspecified sites",
M869,"Osteomyelitis, unspecified",
M8700,Idiopathic aseptic necrosis of unspecified bone,
M87011,Idiopathic aseptic necrosis of right shoulder,
M87012,Idiopathic aseptic necrosis of left shoulder,
M87019,Idiopathic aseptic necrosis of unspecified shoulder,
M87021,Idiopathic aseptic necrosis of right humerus,
M87022,Idiopathic aseptic necrosis of left humerus,
M87029,Idiopathic aseptic necrosis of unspecified humerus,
M87031,Idiopathic aseptic necrosis of right radius,
M87032,Idiopathic aseptic necrosis of left radius,
M87033,Idiopathic aseptic necrosis of unspecified radius,
M87034,Idiopathic aseptic necrosis of right ulna,
M87035,Idiopathic aseptic necrosis of left ulna,
M87036,Idiopathic aseptic necrosis of unspecified ulna,
M87037,Idiopathic aseptic necrosis of right carpus,
M87038,Idiopathic aseptic necrosis of left carpus,
M87039,Idiopathic aseptic necrosis of unspecified carpus,
M87041,Idiopathic aseptic necrosis of right hand,
M87042,Idiopathic aseptic necrosis of left hand,
M87043,Idiopathic aseptic necrosis of unspecified hand,
M87044,Idiopathic aseptic necrosis of right finger(s),
M87045,Idiopathic aseptic necrosis of left finger(s),
M87046,Idiopathic aseptic necrosis of unspecified finger(s),
M87050,Idiopathic aseptic necrosis of pelvis,
M87051,Idiopathic aseptic necrosis of right femur,
M87052,Idiopathic aseptic necrosis of left femur,
M87059,Idiopathic aseptic necrosis of unspecified femur,
M87061,Idiopathic aseptic necrosis of right tibia,
M87062,Idiopathic aseptic necrosis of left tibia,
M87063,Idiopathic aseptic necrosis of unspecified tibia,
M87064,Idiopathic aseptic necrosis of right fibula,
M87065,Idiopathic aseptic necrosis of left fibula,
M87066,Idiopathic aseptic necrosis of unspecified fibula,
M87071,Idiopathic aseptic necrosis of right ankle,
M87072,Idiopathic aseptic necrosis of left ankle,
M87073,Idiopathic aseptic necrosis of unspecified ankle,
M87074,Idiopathic aseptic necrosis of right foot,
M87075,Idiopathic aseptic necrosis of left foot,
M87076,Idiopathic aseptic necrosis of unspecified foot,
M87077,Idiopathic aseptic necrosis of right toe(s),
M87078,Idiopathic aseptic necrosis of left toe(s),
M87079,Idiopathic aseptic necrosis of unspecified toe(s),
M8708,"Idiopathic aseptic necrosis of bone, other site",
M8709,"Idiopathic aseptic necrosis of bone, multiple sites",
M8720,"Osteonecrosis due to previous trauma, unspecified bone",
M87211,"Osteonecrosis due to previous trauma, right shoulder",
M87212,"Osteonecrosis due to previous trauma, left shoulder",
M87219,"Osteonecrosis due to previous trauma, unspecified shoulder",
M87221,"Osteonecrosis due to previous trauma, right humerus",
M87222,"Osteonecrosis due to previous trauma, left humerus",
M87229,"Osteonecrosis due to previous trauma, unspecified humerus",
M87231,Osteonecrosis due to previous trauma of right radius,
M87232,Osteonecrosis due to previous trauma of left radius,
M87233,Osteonecrosis due to previous trauma of unspecified radius,
M87234,Osteonecrosis due to previous trauma of right ulna,
M87235,Osteonecrosis due to previous trauma of left ulna,
M87236,Osteonecrosis due to previous trauma of unspecified ulna,
M87237,Osteonecrosis due to previous trauma of right carpus,
M87238,Osteonecrosis due to previous trauma of left carpus,
M87239,Osteonecrosis due to previous trauma of unspecified carpus,
M87241,"Osteonecrosis due to previous trauma, right hand",
M87242,"Osteonecrosis due to previous trauma, left hand",
M87243,"Osteonecrosis due to previous trauma, unspecified hand",
M87244,"Osteonecrosis due to previous trauma, right finger(s)",
M87245,"Osteonecrosis due to previous trauma, left finger(s)",
M87246,"Osteonecrosis due to previous trauma, unspecified finger(s)",
M87250,"Osteonecrosis due to previous trauma, pelvis",
M87251,"Osteonecrosis due to previous trauma, right femur",
M87252,"Osteonecrosis due to previous trauma, left femur",
M87256,"Osteonecrosis due to previous trauma, unspecified femur",
M87261,"Osteonecrosis due to previous trauma, right tibia",
M87262,"Osteonecrosis due to previous trauma, left tibia",
M87263,"Osteonecrosis due to previous trauma, unspecified tibia",
M87264,"Osteonecrosis due to previous trauma, right fibula",
M87265,"Osteonecrosis due to previous trauma, left fibula",
M87266,"Osteonecrosis due to previous trauma, unspecified fibula",
M87271,"Osteonecrosis due to previous trauma, right ankle",
M87272,"Osteonecrosis due to previous trauma, left ankle",
M87273,"Osteonecrosis due to previous trauma, unspecified ankle",
M87274,"Osteonecrosis due to previous trauma, right foot",
M87275,"Osteonecrosis due to previous trauma, left foot",
M87276,"Osteonecrosis due to previous trauma, unspecified foot",
M87277,"Osteonecrosis due to previous trauma, right toe(s)",
M87278,"Osteonecrosis due to previous trauma, left toe(s)",
M87279,"Osteonecrosis due to previous trauma, unspecified toe(s)",
M8728,"Osteonecrosis due to previous trauma, other site",
M8729,"Osteonecrosis due to previous trauma, multiple sites",
M8730,"Other secondary osteonecrosis, unspecified bone",
M87311,"Other secondary osteonecrosis, right shoulder",
M87312,"Other secondary osteonecrosis, left shoulder",
M87319,"Other secondary osteonecrosis, unspecified shoulder",
M87321,"Other secondary osteonecrosis, right humerus",
M87322,"Other secondary osteonecrosis, left humerus",
M87329,"Other secondary osteonecrosis, unspecified humerus",
M87331,Other secondary osteonecrosis of right radius,
M87332,Other secondary osteonecrosis of left radius,
M87333,Other secondary osteonecrosis of unspecified radius,
M87334,Other secondary osteonecrosis of right ulna,
M87335,Other secondary osteonecrosis of left ulna,
M87336,Other secondary osteonecrosis of unspecified ulna,
M87337,Other secondary osteonecrosis of right carpus,
M87338,Other secondary osteonecrosis of left carpus,
M87339,Other secondary osteonecrosis of unspecified carpus,
M87341,"Other secondary osteonecrosis, right hand",
M87342,"Other secondary osteonecrosis, left hand",
M87343,"Other secondary osteonecrosis, unspecified hand",
M87344,"Other secondary osteonecrosis, right finger(s)",
M87345,"Other secondary osteonecrosis, left finger(s)",
M87346,"Other secondary osteonecrosis, unspecified finger(s)",
M87350,"Other secondary osteonecrosis, pelvis",
M87351,"Other secondary osteonecrosis, right femur",
M87352,"Other secondary osteonecrosis, left femur",
M87353,"Other secondary osteonecrosis, unspecified femur",
M87361,"Other secondary osteonecrosis, right tibia",
